"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Adam","Tokuma Shoten","Good","None","Blue","Blond","None",140,70,100,100,100
"Adam Atom","DC Comics","None","None","None","None","None",157,80,1,1,15
"Adam Jensen","Square Enix","Good","None","Brown","Black","Human",140,70,15,95,20
"Adam Knight","DC Comics","Bad","None",NA,NA,"None",100,50,1,25,15
"Adam Smasher","CD Projekt Red","Neutral","None","Red","No Hair","None",100,50,25,50,20
"Adamai","Netflix","Good","None","Black",NA,"Dragon",110,55,25,60,50
"Adel","Square Enix","Bad","None","Red","Red","None",120,60,95,40,85
"Adjudicator","DC Comics","None","None","None","None","None",200,100,100,40,100
"Admiral Ackbar","George Lucas","None","None","None","None","None",100,50,5,35,5
"Adolf Hitler","Marvel Comics","Bad","None",NA,"Black","Human",140,70,1,50,10
"Adonis Creed","None","Good","None","Brown","Black","Human",110,55,5,80,10
"Aegis","Marvel Comics","Bad","None","White","No Hair","Cosmic Entity",200,100,100,80,100
"Aeon","Konami","Neutral","None","Silver","Silver","None",160,80,100,90,95
"Aerith","Square Enix","Good","None","Green","Brown","Human",120,60,100,70,80
"Aeroblitz Drago","Sega","None","Blitz Dragonoid,Cross Dragonoid,Delta Dragonoid,Drago,Fusion Dragonoid,Helix Dragonoid,Infinity Dragonoid,Lumino Dragonoid,Neo Dragonoid,Titanium Dragonoid,Ultimate Dragonoid","None","None","None",200,100,100,95,100
"Aesir","Sega","Bad","Prophet",NA,"No Hair","God / Eternal",200,100,100,90,100
"Aether","None","Good","Aether","Gold","Blond","Demi-God",100,50,25,60,40
"Aether (Divine)","None","Good","Aether","Yellow","Blond","Deity",100,50,75,70,80
"Aeturnum","Marvel Comics","Bad","None","Green","No Hair","Human",140,70,25,60,12
"Aforgomon","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Agamotto","Marvel Comics","Good","None","None","None","God / Eternal",190,95,100,90,100
"Agatha","None","None","None","None","None","None",80,40,1,12,5
"Agatha Harkness","Marvel Comics","Bad","None",NA,NA,"Human",140,70,40,65,35
"Agent 13","Marvel Comics","Good","None","Blue","Blond","None",140,70,1,95,15
"Agent 37","DC Comics","None","None","Blue","Black","Human",160,80,5,95,9
"Agent 47","None","None","None","None","None","None",170,85,8,90,15
"Agent 47 (2015)","None","Good","None","Blue","No Hair","None",140,70,6,80,8
"Agent Anti-Venom","Marvel Comics","Good","None","Blue","Strawberry Blond","Human",140,70,55,90,35
"Agent Chase","Lego","None","None","None","None","None",140,70,5,70,12
"Agent Coulson","Marvel Comics","Good","None","Brown","Brown","Human",140,70,80,65,30
"Agent Greta I","Warner Brothers","Good","None","Brown","Black","Human",120,60,1,65,10
"Agent Greta II","Warner Brothers","Good","None","Brown","Black","Human",110,55,1,60,10
"Agent Greta III","Warner Brothers","Good","None","Hazel","Blond","Human",110,55,1,60,10
"Agent Greta IV","Warner Brothers","Good","None","Brown","Brown","Human",120,60,1,65,10
"Agent Of Source Wall","DC Comics","Neutral","None",NA,NA,"God / Eternal",200,100,100,100,100
"Agent Saito (Commander)","None","Neutral","None","Black","Brown / Black","None",100,50,1,50,7
"Agent Slater","None","None","None","None","None","None",110,55,5,55,5
"Agent Smith","None","Bad","None","Blue","Brown","Human",190,95,30,100,70
"Agent Trace","Lego","None","None","None","None","None",130,65,1,50,12
"Agent Venom","Marvel Comics","Good","None","Blue","Strawberry Blond","Human",135,70,25,100,30
"Agent Zero","Marvel Comics","Bad","None","Brown","Black","Mutant",130,65,5,85,10
"Aggregor","Cartoon Network","Bad","None","Red","Black","None",180,90,30,100,30
"Agira (Capsule Monster)","None","Good","None",NA,NA,"Kaiju",90,45,75,25,20
"Agony (Carnage-Infested)","Marvel Comics","Bad","Agony","White","Purple","Alien",100,50,25,70,50
"Agony (Klyntar Symbiote)","Marvel Comics","Neutral","Agony","White","Purple","Alien",100,50,25,70,50
"Agrus Kos","Hasbro","Good","None",NA,NA,"Human",120,60,1,70,20
"Aguilar","Ubisoft","Good","None","None","None","Human",120,60,1,80,5
"Aguja","Marvel Comics","Bad","None","Green","Blond","Human",115,60,1,40,35
"Agunimon","Shueisha","Good","Aldamon,BurningGreymon",NA,"Blond","Human",120,60,45,65,40
"Ahriman","Ubisoft","Bad","None",NA,NA,"Demon",200,100,100,90,100
"Ahsoka Tano","George Lucas","Good","None","Blue","No Hair","Alien",140,70,25,80,20
"Ahura Mazda","Marvel Comics","Good","None","Brown","White","God / Eternal",200,100,95,80,100
"Ahzek Ahriman","Warhammer 40K","None","None","None","None","None",190,95,100,90,100
"Ahzidal","None","Bad","None",NA,NA,"None",160,80,90,80,50
"Ai","Shueisha",NA,"None",NA,NA,"Alien",140,70,30,70,50
"Aigami","Shueisha","None","None","None","None","None",160,80,1,80,10
"Aiger Akabane","None","Good","None","Blue","Red","None",100,50,10,70,6
"Ainz Ooal Gown","Kadokawa",NA,"None",NA,NA,"None",150,75,50,75,40
"Aiolin Astarte","George Lucas","Bad","None","Blue","Blond","None",120,60,25,60,15
"Air-Walker","Marvel Comics","Bad","None","Blue","White","None",100,50,100,80,100
"Air Elementor","Mattel","Bad","None","White","No Hair","Robot",145,75,30,50,40
"Air Raider (EDF5)","None","Good","Fencer,Ranger,Wing Diver",NA,NA,"Human",120,60,1,40,10
"Air Wave II","DC Comics","Good","None",NA,"Brown","Human",140,70,25,30,25
"Aisha Necron","Square Enix","Good","None","Gold","Silver","Demon",140,70,55,50,100
"Aiueb Gnshal","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Aizen","Shueisha","Bad","Aizen",NA,"Brown","None",185,95,55,95,65
"Aizen (Monster)","None","Bad","None","White","Brown","None",190,95,75,95,95
"Aizen (Muken)","Shueisha","Bad","Aizen",NA,NA,"None",180,90,55,100,100
"Aja-Adanna","Marvel Comics",NA,"Black Panther","Brown","Black","Human",170,85,25,80,20
"Ajak","Marvel Comics","Good","None","Grey","Black","Eternal",170,85,100,100,100
"Ajani Goldmane (Post-Mending)","Hasbro","Good","None",NA,"White","None",130,65,25,65,25
"Ajax","Marvel Comics","Bad","None",NA,NA,"Human",130,65,15,75,10
"Ajay Ghale","Ubisoft","Good","None","Brown","Black","Human",120,60,5,75,10
"Aka","None","None","None","None","None","None",200,100,100,100,100
"Akainu","Shueisha","Bad","None","None","Black","Human",170,85,100,80,45
"Akali","Riot Games","Neutral","None",NA,"Black","Human",135,70,1,80,20
"Akame Of Demon Sword Murasame","Square Enix","Good","None","Red","Black","Human",110,55,30,90,35
"Akash'bhuta","None","Bad","None",NA,NA,"None",150,75,100,50,55
"Akaza (Kimetsu No Yaiba)","Shueisha","Bad","None",NA,NA,"Demon",110,55,30,90,15
"Akhenaten","Marvel Comics","Bad","None","Yellow","Black","God / Eternal",200,100,100,100,100
"Akiza Izinski","Shueisha","Good","None",NA,NA,"Human",160,80,1,80,1
"Akka, Worm Of Secrets","None","None","None","None","None","None",200,100,100,80,100
"Akroma","Hasbro","Good","None",NA,"Black / Blue","Deity",130,65,45,80,50
"Akshan","Riot Games","Good","None","Brown","Brown","Human",110,55,5,65,10
"Aksis, Archon Prime","None","Bad","None",NA,"No Hair","Alien",180,90,100,100,100
"Aku","IDW Publishing","None","None","None","None","None",165,85,100,75,100
"Akuma","Capcom","Bad","None","Red","Red","Demon",100,50,75,100,40
"Akuto Sai","Shueisha","Good","None","Purple","Brown","Demon",200,100,100,100,100
"Aladdin","Shogakukan","Good","None","Blue","Blue","Human",200,100,75,90,100
"Alakazam","Nintendo","None","None","None","None","None",195,100,25,75,90
"Alan Albright","Cartoon Network","Good","None","Black","Black","Human",130,65,30,60,35
"Alan Sylvasta","None","Bad","None","Teal","Blond","None",150,75,30,70,35
"Alani","Gearbox Software","None","None","None","None","None",110,55,1,60,50
"Alastor","None","Bad","None","Red","Red","Demon",160,80,25,30,50
"Alatreon","Capcom","Bad","None","Orange",NA,"Dragon",130,65,100,80,65
"Albedo","Cartoon Network","Bad","None","Red","White","Alien",190,95,100,85,100
"Alberto","Disney","None","None","None","None","None",90,45,1,15,15
"Albus","None","Good","None","Red","No Hair","Dragon",50,25,1,30,10
"Alcatraz","None","Good","None","Green","Brown","None",130,65,25,50,25
"Alcina Dimitrescu","Capcom","Bad","None","Yellow","Black","Vampire",120,60,25,30,25
"Aldamon","Shueisha","Good","Agunimon,BurningGreymon",NA,NA,"None",120,60,75,70,60
"Aldar","DC Comics","None","None","None","None","None",120,60,95,55,65
"Aldoron","Kodansha","None","None","None","None","None",180,90,100,80,85
"Aldrich Killian","Marvel Comics","Bad","None",NA,NA,"Metahuman",150,75,5,60,25
"Alduin","None","Bad","None","Red","No Hair","Dragon",200,100,100,50,100
"Alea","DC Comics","Good","None","White","Red","None",120,60,25,75,20
"Alec","James Cameron","Good","None","Green","Blond","Human",170,85,25,75,20
"Alecto Carrow","J. K. Rowling","Bad","None","Brown","Red / Orange","None",110,55,1,45,10
"Alessi","None","Bad","None","Red","Brown","Human",98,50,1,11,5
"Aletheia","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Alex","Warner Brothers","Good","None","Blue","Brown","Human",120,60,1,75,10
"Alex O'Connell","None","Good","None","Blue","Blond","Human",130,65,5,60,10
"Alexander Anderson","Dark Horse Comics","Neutral","None","Green","Blond","Human",140,70,25,90,30
"Alfred (2022)","DC Comics","Good","Alfred",NA,NA,"Human",137,70,1,45,6
"Alfred Pennyworth","DC Comics","None","None","None","None","None",140,70,5,35,5
"Ali","Sega","Good","None","Blue","Blond","Human",110,55,6,55,20
"Alibaba","Shogakukan","Good","None","Orange","Blond","Human",150,75,1,95,35
"Alice","DC Comics","None","None","None","None","None",150,75,1,70,10
"Alice (Trianthology)","07th Expansion","None","None","None","None","None",200,100,100,100,100
"Alice Angel (Toon) (Alice)","Rooster Teeth Games","Good","None","Black","Black","Demon",84,40,1,10,8
"Alice Cooper","None","None","None","None","None","None",120,60,1,35,5
"Alice Margatroid","None","Good","None","Gold","Yellow","None",110,55,25,80,90
"Alicia Baker","DC Comics","None","None","None","None","None",160,80,1,25,10
"Alien","Dark Horse Comics","Bad","None","None","No Hair","Xenomorph XX121",45,25,25,45,70
"Alien Baltan","None","Bad","None",NA,NA,"Alien",150,75,75,30,30
"Alien Empera","None","Bad","None",NA,"No Hair","Alien",180,90,80,95,85
"Alien Hominid","Newgrounds","Neutral","None","White","No Hair","Alien",127,65,17,35,13
"Alien Magma","None","Bad","None",NA,"Blond","Alien",150,75,80,60,50
"Alien Mefilas","None","Bad","None","Blue","No Hair","Alien",180,90,75,35,50
"Alien Metron","None","Bad","None",NA,NA,"Alien",150,75,75,40,35
"Alien Nackle","None","Bad","None","Red","White","Alien",150,75,75,70,40
"Alien X","None","Good","None","Green","No Hair","Cosmic Entity",200,100,100,85,100
"Alien X (Reboot)","Cartoon Network",NA,"None",NA,NA,"None",170,85,100,90,100
"Alien Zarab","None","Bad","None",NA,"No Hair","Alien",150,75,75,40,35
"Alien Zetton","None","Neutral","None","Yellow / Red","No Hair","Alien",160,80,75,40,30
"Alioth","Marvel Comics","Bad","None","Red",NA,"Cosmic Entity",65,35,100,30,75
"Alison Angel","None","Good","None","Brown","Black","None",110,55,1,25,7
"Alistar","Riot Games","Good","None","Red","Blue","Martian",90,45,30,35,25
"Alita","Kodansha","Good","None","Brown","Brown / Black","Cyborg",130,65,25,80,20
"Alito","Shueisha","Bad","None","Green",NA,"Alien",160,80,75,100,50
"All-Black","Marvel Comics","Bad","None","No eyes","No Hair","Symbiote",160,80,100,70,100
"All-Father Bor","Marvel Comics","Good","Bor Burison","Blue","Red","Elder",180,90,100,95,100
"All-Father Thor","Marvel Comics","Good","All-father Thor,Cosmic King Thor,Destroyer,Destroyer Thor,Golden Thor,Lord Thor,Necro King Thor,Necro Thor,Old King Thor,Rune King Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thorr,World Breaker Thor","Blue","Blond","Asgardian",190,95,100,90,100
"All-father Thor (Fully Odin Force)","Marvel Comics","Good","All-Father Thor,Cosmic King Thor,Destroyer,Destroyer Thor,Golden Thor,Lord Thor,Necro King Thor,Necro Thor,Old King Thor,Rune King Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thorr,World Breaker Thor","Blue","Blond","Asgardian",190,95,100,100,100
"All-Father Ultron","Marvel Comics","Good","None","Red","No Hair","Android",200,100,100,80,100
"All-Mother Frigga","Marvel Comics","Good","None","Blue","White","Asgardian",160,80,55,90,100
"All For One","Shueisha","Bad","None",NA,"No Hair","Human",150,75,100,90,35
"All Might","Shueisha","Good","None","None","None","None",150,75,100,90,90
"Allegra","None","None","None","None","None","None",120,60,25,35,35
"Allegra Garcia","DC Comics","Good","None",NA,NA,"None",120,60,1,65,10
"Allen","Skybound","Good","None","Red","No Hair","Alien",140,70,100,100,55
"Allen O'Neil","SNK","Bad","None","Brown","No Hair","Human",169,85,100,100,60
"Allen Walker","Shueisha","Good","None","Silver","Silver","None",110,55,55,90,40
"Allosaurus","Universal Studios","Neutral","None",NA,"No Hair","Animal",70,35,25,30,10
"Alluka","Shueisha","Neutral","None",NA,"Brown / Black","Human",130,65,25,50,50
"Allura In-Ze","DC Comics","Good","None","Blue","Blond","None",170,85,100,60,85
"Almalexia","None","None","None","None","None","None",200,100,100,100,100
"Alovenus","None","None","None","None","None","None",200,100,100,100,100
"Aloy","Guerrilla Games","Good","None","Green","Red","Human",130,65,13,75,10
"Alpha","DC Comics","Bad","None","None","Black","Human",110,55,1,80,5
"Alpha-Hydranoid","Sega","Good","Dual Hydranoid","Red","No Hair","Alien",160,80,100,60,100
"Alpha Vampire","Wildstorm","Bad","None","Black","No Hair","Vampire",160,80,25,70,30
"Alphamon","Shueisha","None","None","None","None","None",160,80,100,100,100
"Alpharius Omegon","Warhammer 40K","None","None","None","None","None",180,90,100,100,95
"Alphonse Elric","Square Enix","Good","None","No eyes","No Hair","Human",150,75,25,80,15
"Alraune","Sega","Bad","None","No eyes","Red","Demon",120,60,50,80,50
"Alrund (God of the Cosmos)","Hasbro","Good","None",NA,"Grey","Deity",180,90,75,80,70
"Altaïr","Ubisoft","Good","None","Hazel","Brown","Human",150,75,5,95,9
"Altair (Military Uniform Princess)","Shogakukan","Bad","None","Red","White","Human",200,100,95,100,100
"Alter Ego","Marvel Comics","Bad","None","Yellow","None","God / Eternal",150,75,100,50,95
"Alucard","Konami","Good","None","Red","Blond","Human",140,70,30,80,35
"Alucard (Post-Schrodinger)","Dark Horse Comics","Neutral","Alucard","Red","Black","Vampire",170,85,55,90,50
"Alucard (Pre-Schrodinger)","Dark Horse Comics","Neutral","Alucard","Red","Black","Vampire",160,80,30,90,50
"Am Chouno","Shueisha","Good","None","Brown","Blue","Human",150,75,1,80,40
"Amadeus Cho","Marvel Comics","Good","Brawn,Iron Spider","Black","Black","Human",170,85,100,80,100
"Amalia","None","None","None","None","None","None",80,40,25,30,15
"Amalia (sadida goddes)","Netflix","Neutral","Amalia","Black","Green","Human",95,50,75,70,55
"Amanda","Warner Brothers","Bad","None","Green","Brown","Human",140,70,1,80,10
"Amanda Waller","DC Comics","None","None","None","None","None",140,70,5,25,5
"Amarantha","None","None","None","None","None","None",200,100,100,100,100
"Amaterasu","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Amazo (Anti-life)","DC Comics","Bad","None",NA,NA,"Android",200,100,100,100,100
"Ambra","Gearbox Software","None","None","None","None","None",120,60,25,65,60
"Ambuscade","None","Bad","None","Blue","Brown","Human",140,70,5,95,15
"Ambush Bug","DC Comics","Good","None","Blue","No Hair","Human",160,80,25,70,100
"Amenadiel","DC Comics","None","None","None","None","None",200,100,100,100,100
"Amenadiel (Power Of God)","DC Comics","Good","None","Brown","Black","God / Eternal",200,100,100,100,100
"Ames White","James Cameron","Bad","None","Brown","Brown","Human",160,80,25,70,20
"Amethyst","Cartoon Network","Good","None","Indigo","Purple","Alien",110,55,75,80,80
"Amhuluk","None","Neutral","None",NA,NA,"Kaiju",100,50,75,40,35
"Amiba","Shueisha",NA,"None",NA,NA,"None",135,70,55,100,45
"Amingo (Marvel vs Capcom 2)","Capcom","None","None","None","None","None",120,60,75,50,50
"Amira","None","Good","None","Red","Black","None",150,75,25,50,30
"Amity","Disney","None","None","None","None","None",130,65,5,45,20
"Amon (XelNaga Form)","Microsoft","None","None","None","None","None",175,90,100,75,100
"AmpFibian","Cartoon Network","Good","None","Green","None","Alien",140,70,25,50,50
"Amuro Ray (RX-78-2 Gundam)","None","Good","None",NA,NA,"Human",190,95,30,100,20
"Amy","Warner Brothers","Bad","None","Blue","Blond","Human",120,60,1,75,10
"Amy Rose","Sega","Good","None","None","Pink","Animal",140,70,35,85,60
"Amycus Carrow","J. K. Rowling","Bad","None",NA,NA,"None",110,55,1,45,10
"An'ggrath The Unbound","Warhammer 40K","None","None","None","None","None",200,100,100,100,100
"Anais Watterson","Cartoon Network","Good","None","Black",NA,"Animal",200,100,95,75,35
"Anakin (Ghost)","George Lucas","None","Darth Vader","None","None","None",100,50,10,65,100
"Anakin Skywalker","George Lucas","Good","Darth Vader,The Chosen One","Blue","Brown","Human",150,75,35,90,25
"Anastasia Ainsworth","Sega","Bad","None","Yellow","Blond","Human",150,75,25,50,10
"Anath","None","None","None","None","None","None",200,100,100,100,100
"Ancalagon","J. R. R. Tolkien","Bad","None","Orange","No Hair","Dragon",150,75,100,50,90
"Ancano","None","Bad","None","Yellow","White","None",141,70,80,50,50
"Ancient Of Days","None","None","None","None","None","None",200,100,100,80,100
"Ancient One","Marvel Comics","Good","None","Brown","No Hair","Human",170,85,100,70,100
"AncientGarurumon","Shueisha",NA,"None","Red",NA,"None",180,90,100,100,95
"AncientGreymon","Shueisha","None","None","Blue","Orange","None",140,70,100,95,100
"Android 16","Shueisha","Neutral","None","Blue","Orange","Android",180,90,100,100,75
"Android 17","Shueisha","Good","Android 17 (Super 17),Future Android 17","Blue","Black","Android",130,65,100,100,100
"Android 18","Shueisha","Good","Future Android 18","Grey","Blond","Android",115,60,95,95,85
"Android 19","Shueisha","Bad","None",NA,NA,"Android",160,80,100,90,60
"Andromeda Shun","Shueisha","Good","None",NA,NA,"Human",120,60,100,90,100
"Andromeda Tonks","J. K. Rowling","Good","None",NA,NA,"None",135,70,1,40,10
"Andvari","None","Good","None","Brown","Brown","None",130,65,30,60,35
"Angael Hewley","Square Enix","Neutral","None",NA,NA,"Human",110,55,100,90,75
"Angel","Marvel Comics","Good","Archangel","None","None","Mutant",100,50,5,40,10
"Angel Dust","Marvel Comics","Bad","None",NA,NA,"Human",110,55,25,50,20
"Angel Salvadore","Marvel Comics","Bad","None","Brown","Black","Mutant",110,55,1,50,15
"Angela","Marvel Comics","Neutral","None","White","Red","God / Eternal",140,70,100,100,60
"Angelina Johnson","J. K. Rowling","Good","None","Brown","Black","None",130,65,1,35,10
"Angemon","Shueisha","Good","None",NA,"Blond","Deity",112,55,50,65,50
"Anger","George Lucas","Good","Confusion,Joy,Sadness,Serenity",NA,NA,"None",200,100,100,100,100
"Angewomon","Shueisha","Good","None","Blue","Blond","Deity",120,60,75,75,70
"Angra Mainyu","None","None","None","None","None","None",200,100,100,100,100
"Angrath (Post-Mending)","Hasbro","Neutral","None",NA,NA,"None",120,60,25,65,20
"Angstrom Levy","Skybound","Bad","None",NA,NA,"Human",190,95,20,50,40
"Anguirus","IDW Publishing","Good","Anguirus",NA,NA,"Kaiju",100,50,75,35,35
"Anguirus (Singular Point)","IDW Publishing","Neutral","Anguirus",NA,NA,"Kaiju",110,55,25,30,20
"Angus","None","Good","None","Green","Green","None",130,65,90,70,60
"Animal Man","DC Comics","Good","White Lantern","Blue","Blond","Human",130,65,45,50,40
"Animal Man (BODY OF GOD)","DC Comics","Good","None",NA,NA,"None",200,100,100,100,100
"Aniraza","Shueisha","Neutral","None","Pink","No Hair","Android",120,60,100,100,100
"Anis","None","None","None","None","None","None",200,100,100,100,100
"Anissa","Skybound","Good","None",NA,"Black","None",140,70,100,95,50
"Anivia","Riot Games","Good","None","Blue","No Hair","Demi-God",170,85,75,40,55
"Anjanath","Capcom","None","None","None","None","None",90,45,25,50,25
"Anko","Shueisha","Good","None","Brown","Purple","Human",130,65,25,85,20
"Anna Ky?yama","Kodansha","Good","None","Black","Blond","Human",150,75,13,90,25
"Anna Wu","Warner Brothers","Neutral","None","Brown","Black","Human",120,60,1,50,10
"Annabelle Demon","None","Bad","None","Red","No Hair","Demon",160,80,25,50,60
"Annabeth Chase","Rick Riordan","Good","Annabeth Chase","Grey","Blond","Demi-God",170,85,100,95,50
"Annie","Riot Games","Neutral","None",NA,"Red","Human",110,55,1,35,10
"Annie Leonhart","Kodansha","None","Female Titan","Blue","Blond","Human",130,65,75,70,20
"Annihilation","Marvel Comics","Good","Genesis","Blue","Black","Mutant",190,95,95,70,80
"Annihilus","Marvel Comics","Bad","Annihilus,Annihilus","Green","No Hair","None",130,65,100,80,75
"Annus (The End)","None","Neutral","None","Brown","Black","Human",110,55,1,15,8
"Anos Voldigoad","Square Enix","Good","None","Red","Black","Demon",180,90,100,80,100
"Anshar","None","None","None","None","None","None",200,100,100,100,100
"Answer","Marvel Comics","Neutral","None","Brown","None","Human",89,45,1,40,9
"Ant-Man","Marvel Comics","Good","Giant-Man,Goliath,Ultron,Wasp II,Yellowjacket","Blue","Blond","Human",190,95,6,55,20
"Ant-Venom","Marvel Comics","Good","None","None","None","Human",120,60,50,75,30
"Anthony Haden-Scott (EVO Form)","Cartoon Network","Bad","None","Orange","No Hair","Human",110,55,5,40,40
"Anthony Stark (Third A.I.)","Marvel Comics","Good","None","None","None","Android",180,90,25,70,35
"Anthropomorpho","Marvel Comics","None","None",NA,NA,"Cosmic Entity",200,100,100,20,100
"Anti-Man","Marvel Comics","None","Anti-Man","Brown","Brown","Human",160,80,100,85,100
"Anti-Man (Herald Of Galactus Life Bringer)","Marvel Comics","Good","Anti-Man","Brown","Blond","Human",200,100,100,95,100
"Anti-Matter Man","DC Comics","None","None","None","None","None",200,100,100,25,100
"Anti-Monitor","DC Comics","Bad","None","None","No Hair","God / Eternal",200,100,100,80,100
"Anti-Monitor (Anti-life Equation)","DC Comics","Bad","Anti-Monitor,Anti-Monitor,Anti-Monitor,Black Lantern,Yellow Lantern",NA,NA,"Cosmic Entity",200,100,100,100,100
